index,dE_c,dE_o,dE_n,dE_h,d_band_center,d_band_filling,d_band_width,d_band_upperedge
Rh-2@Fe,-7.22908483,-5.22897974,-5.40594842,-2.74853115,-1.444498796,0.753032231,4.582287274,0.1112
Rh-2@Co,-7.2342436,-5.22382988,-5.41594348,-2.75041069,-1.489217388,0.771759925,4.54639798,1.2044
Rh-2@Ni,-7.42694934,-5.41551695,-5.5592307,-2.80070115,-1.452725938,0.73900689,4.360704176,0.883
Rh-2@Cu,-7.76778703,-5.75055954,-5.88348565,-2.91273908,-1.291201472,0.716669931,4.145908699,0.3978
Rh-2@Ru,-7.17014699,-5.222591,-5.32526136,-2.69785143,-1.718408986,0.76567994,4.690974872,1.2662
Rh-2@Rh,-7.40432225,-5.43433082,-5.50127642,-2.79581008,-1.559886894,0.747842775,4.464078134,0.8697
Rh-2@Pd,-7.7275674,-5.69331625,-5.8262579,-2.8739269,-1.375694555,0.716428126,4.163536211,0.6013
Rh-2@Ag,-8.03351505,-5.93541435,-6.09553779,-2.96792739,-1.197940265,0.722830101,3.809513516,0.4498
Rh-2@Ir,-7.35545841,-5.38934189,-5.42718304,-2.79413588,-1.690667252,0.751804201,4.634332753,1.2052
Rh-2@Pt,-7.64249558,-5.6437368,-5.73830791,-2.86025745,-1.448389428,0.766218014,4.398233678,0.5936
Rh-2@Au,-8.03252827,-5.9264791,-6.10802642,-2.96112729,-1.250281408,0.749316216,3.966663342,0.349
Rh-1@Fe,-7.33308878,-5.24613621,-5.49056359,-2.77093733,-1.400926594,0.740062663,4.357489195,0.2674
Rh-1@Co,-7.34123347,-5.24089681,-5.49375874,-2.77255972,-1.442601541,0.770532346,4.323710245,1.1879
Rh-1@Ni,-7.54777442,-5.44683817,-5.6529953,-2.82463801,-1.402319949,0.757746411,4.176678584,0.7642
Rh-1@Cu,-7.92327894,-5.81807449,-5.99684042,-2.94978308,-1.240326697,0.754649361,3.920691296,0.3467
Rh-1@Ru,-7.24936953,-5.2335474,-5.38915601,-2.71189569,-1.670712117,0.771508726,4.439340418,1.3025
Rh-1@Rh,-7.50273143,-5.46697435,-5.57674679,-2.81501238,-1.514777136,0.755940245,4.272466423,0.9123
Rh-1@Pd,-7.84932211,-5.74698786,-5.91320957,-2.90369702,-1.322950148,0.728139095,3.958896149,0.6525
Rh-1@Ag,-8.19197271,-6.01570385,-6.21493524,-3.00387703,-1.136697403,0.709864768,3.663331625,0.4142
Rh-1@Ir,-7.43549521,-5.41737801,-5.48905494,-2.81034921,-1.646469137,0.755156962,4.421010471,1.026
Rh-1@Pt,-7.73771811,-5.687161,-5.80040981,-2.88618863,-1.410911669,0.735370075,4.238386358,0.6561
Rh-1@Au,-8.14497455,-5.99400522,-6.20324397,-2.99684435,-1.198827991,0.741148987,3.773880308,0.3287
Rh@Fe,-7.42478815,-5.25762901,-5.36913206,-2.78629368,-1.361840327,0.770021789,4.156404878,0.1987
Rh@Co,-7.44722318,-5.26062343,-5.56900263,-2.79526901,-1.405822386,0.75736076,4.104313338,1.0957
Rh@Ni,-7.67087331,-5.47774249,-5.74644098,-2.84763785,-1.357160604,0.730030752,4.007851021,0.8334
Rh@Cu,-8.07210541,-5.88256024,-6.10697864,-2.98181626,-1.187697785,0.740111916,3.770834807,0.4909
Rh@Ru,-7.33391617,-5.24253166,-5.45679481,-2.72568543,-1.625247986,0.77717728,4.230644184,1.1478
Rh@Rh,-7.60087221,-5.49911875,-5.65738847,-2.83249762,-1.46950495,0.753038505,4.068756068,0.8964
Rh@Pd,-7.96970051,-5.80073308,-6.00585783,-2.93347929,-1.285066987,0.742558262,3.728249426,0.5096
Rh@Ag,-8.35162237,-6.09664587,-6.33679223,-3.03695589,-1.087425189,0.754907597,3.461133467,0.3719
Rh@Ir,-7.51692302,-5.44270134,-5.55464594,-2.82394385,-1.604599145,0.752330656,4.218961843,1.0077
Rh@Pt,-7.8325456,-5.72813533,-5.86660196,-2.9116374,-1.374068011,0.750590461,4.024591042,0.7202
Rh@Au,-8.26532289,-6.05186064,-6.29377687,-3.02589407,-1.151162296,0.720056166,3.654528934,0.4565
Rh+1@Fe,-7.50324571,-5.26175248,-5.62185547,-2.79689512,-1.318793233,0.747706596,4.018093431,0.0653
Rh+1@Co,-7.55389485,-5.2840931,-5.23209543,-2.81576234,-1.361258912,0.764166029,3.921154577,1.1291
Rh+1@Ni,-7.79555342,-5.5109799,-5.84719246,-2.87231565,-1.314832751,0.763957095,3.808619825,0.7871
Rh+1@Cu,-8.22060035,-5.94376843,-6.21974162,-3.01110615,-1.143196709,0.725816561,3.574936124,0.4422
Rh+1@Ru,-7.42684651,-5.25214291,-5.53217436,-2.73899675,-1.590007071,0.760014529,4.021330335,1.2112
Rh+1@Rh,-7.69692043,-5.52451569,-5.73527403,-2.84753302,-1.421251282,0.742880929,3.938677341,0.845
Rh+1@Pd,-8.08582563,-5.84676326,-6.09683521,-2.95342399,-1.244824156,0.756661743,3.571750961,0.5627
Rh+1@Ag,-8.51254624,-6.17096816,-6.46727231,-3.07045841,-1.03650566,0.716488075,3.303171844,0.4451
Rh+1@Ir,-7.59734252,-5.46171545,-5.61886041,-2.83418749,-1.569805092,0.748248183,4.056488371,0.9764
Rh+1@Pt,-7.91599012,-5.75464882,-5.9248071,-2.92653668,-1.34612097,0.722750183,3.895387419,0.788
Rh+1@Au,-8.39089084,-6.11180808,-6.38762303,-3.05430295,-1.11378403,0.74256459,3.457805131,0.3323
Rh+2@Fe,-7.57500817,-5.26120767,-5.49102487,-2.80231084,-1.299740805,0.773909663,3.857987342,0.2057
Rh+2@Co,-7.66283573,-5.31183911,-5.34516919,-2.83433005,-1.323818562,0.754064034,3.809542077,1.0627
Rh+2@Ni,-8.25474135,-5.88604843,-6.27690675,-3.22456773,-1.28762663,0.730526023,3.637268132,0.6587
Rh+2@Cu,-8.36179559,-6.00270649,-6.32569211,-3.03901002,-1.103440234,0.764766317,3.396756154,0.3874
Rh+2@Ru,-7.52407826,-5.26462376,-5.61494385,-2.75393577,-1.55171866,0.767611556,3.847221761,1.26
Rh+2@Rh,-7.79333461,-5.55282621,-5.81565465,-2.86111144,-1.390088627,0.732814411,3.771796408,0.7908
Rh+2@Pd,-8.199053,-5.8929126,-6.19040717,-2.97181918,-1.210567496,0.721124661,3.450844561,0.6183
Rh+2@Ag,-8.66960242,-6.24576802,-6.60608273,-3.10220191,-0.98898286,0.738740182,3.160442871,0.3256
Rh+2@Ir,-7.68023322,-5.48045446,-5.68707536,-2.8456505,-1.530135571,0.752022459,3.879075473,0.9978
Rh+2@Pt,-7.99781008,-5.78126791,-5.98560848,-2.94108757,-1.308770575,0.7403743,3.756325359,0.6626
Rh+2@Au,-8.5105091,-6.16808804,-6.48521291,-3.08159049,-1.067053301,0.726196165,3.367701245,0.4805
Pd-2@Fe,-5.77707699,-3.93084883,-3.50062727,-2.43597475,-2.021792571,0.889845328,3.259021139,-0.7648
Pd-2@Co,-6.06234928,-4.07219384,-3.75357678,-2.49258308,-2.044404299,0.897873503,3.197626241,-0.8138
Pd-2@Ni,-6.42451367,-4.27762888,-4.15879366,-2.62107575,-1.877800333,0.891220175,3.094871962,0.3066
Pd-2@Cu,-6.57513395,-4.35281124,-4.34650661,-2.75273273,-1.671920677,0.902735835,2.964685007,-0.266
Pd-2@Ru,-6.3839877,-4.39588207,-4.04465734,-2.56648362,-2.080476192,0.874106279,3.144278573,0.7637
Pd-2@Rh,-6.65337151,-4.53369094,-4.44507584,-2.68111294,-1.833240161,0.876537771,3.096415994,0.3545
Pd-2@Pd,-6.93253122,-4.62504868,-4.73300622,-2.80110829,-1.647829319,0.892782958,2.866832585,0.1298
Pd-2@Ag,-6.71200742,-4.43853289,-4.52892766,-2.82270988,-1.52808474,0.90056581,2.764778037,-0.2979
Pd-2@Os,-6.33755205,-4.4749801,-3.98614308,-2.61619416,-2.184855115,0.869336463,3.444016202,0.0025
Pd-2@Ir,-6.56655319,-4.57082989,-4.35605002,-2.68556486,-2.076756894,0.895240785,3.113905374,0.4384
